ID,Platform
888717083,App store
557881379,App store
778478600,App store
928213022,App store
997446291,App store
1110447884,App store
949701151,App store
401355406,App store
609427383,App store
908646792,App store
317904170,App store
1173481327,App store
1183263711,App store
883349100,App store
1057969272,App store
805900038,App store
778487908,App store
907322227,App store
901216600,App store
1145181578,App store
299011793,App store
449000395,App store
978918786,App store
1014505645,App store
387634246,App store
961565878,App store
1053562258,App store
410599673,App store
422689480,App store
893992075,App store
826347453,App store
534309109,App store
1091700242,App store
879124003,App store
477611108,App store
639791649,App store
943116454,App store
948922089,App store
865289414,App store
1122212503,App store
779641955,App store
968738544,App store
559010048,App store
1095487294,App store
990903485,App store
459660048,App store
1065674928,App store
1141118819,App store
610955645,App store
926285929,App store
1140495295,App store
974187646,App store
522507815,App store
979873043,App store
497595276,App store
547436543,App store
1021634838,App store
427814191,App store
974294085,App store
958585781,App store
388877333,App store
981903698,App store
1023028213,App store
570366534,App store
1065786902,App store
422035154,App store
597855590,App store
1108623942,App store
746894884,App store
1142347474,App store
672216880,App store
1205370465,App store
896433101,App store
997102246,App store
1101465078,App store
605633081,App store
680819774,App store
996685033,App store
326563285,App store
1007254708,App store
572389697,App store
281656475,App store
981305941,App store
715657864,App store
859045398,App store
615626249,App store
533969469,App store
940214292,App store
1031840129,App store
824914833,App store
1039931468,App store
955755215,App store
1005120814,App store
1015827036,App store
1106012225,App store
1020761748,App store
666310063,App store
887558758,App store
932591526,App store
881408806,App store
960108075,App store
414557692,App store
1064014782,App store
476284310,App store
1133878334,App store
1086799932,App store
1091366799,App store
927569248,App store
971732367,App store
954906547,App store
567631021,App store
1136003016,App store
1032997004,App store
573850381,App store
945550691,App store
594774843,App store
510040874,App store
319069849,App store
992877096,App store
964546362,App store
1055952748,App store
524509185,App store
1012231303,App store
1049098537,App store
1093946237,App store
1174081686,App store
432416467,App store
730993392,App store
791259591,App store
935695646,App store
918338898,App store
986113624,App store
705648986,App store
431607423,App store
1081132110,App store
870601864,App store
405365239,App store
407897164,App store
1080778007,App store
980546071,App store
889732397,App store
1184276159,App store
1178896310,App store
510461370,App store
904633210,App store
973439406,App store
1015241902,App store
644071206,App store
1011057738,App store
458155720,App store
528075434,App store
1053254031,App store
637369523,App store
1055502792,App store
943529673,App store
1086000610,App store
1050970557,App store
960730954,App store
962194608,App store
836813279,App store
734058174,App store
965511903,App store
1102597221,App store
1053294286,App store
1142385805,App store
1103107186,App store
911794483,App store
880901237,App store
1167639506,App store
1012231944,App store
443637419,App store
413854036,App store
704712884,App store
967278248,App store
998493836,App store
580412648,App store
1149476118,App store
395480192,App store
1044733380,App store
763852089,App store
1076037275,App store
743974925,App store
807346644,App store
441849779,App store
419788817,App store
994401292,App store
1173605339,App store
853640117,App store
804147058,App store
1114764121,App store
841643980,App store
920783567,App store
1145180705,App store
881812850,App store
1015137537,App store
736047911,App store
896479732,App store
942968213,App store
575749298,App store
1145923951,App store
966802035,App store
1079655573,App store
533451786,App store
464837515,App store
1122885488,App store
996639540,App store
1064386923,App store
448031025,App store
1085248903,App store
1076431520,App store
1102020569,App store
499511971,App store
307182834,App store
985443502,App store
980537665,App store
1114741047,App store
1163925890,App store
1041631196,App store
980362842,App store
559653705,App store
718499206,App store
516561342,App store
535886823,App store
312664288,App store
913753848,App store
537028831,App store
1083604134,App store
888311096,App store
1075872386,App store
1031707235,App store
476038785,App store
939312264,App store
1119056927,App store
641476791,App store
1194624201,App store
883523740,App store
638992331,App store
505544063,App store
1073999675,App store
1164750835,App store
976351888,App store
659434107,App store
1031388734,App store
578773061,App store
557137623,App store
489178757,App store
1035405002,App store
981905053,App store
1188127598,App store
995373885,App store
429178014,App store
671153791,App store
1019089877,App store
927443601,App store
711756202,App store
1042209989,App store
878704370,App store
1031846890,App store
912709082,App store
691797987,App store
541758638,App store
1101391027,App store
977853721,App store
1108180758,App store
1117538162,App store
833756002,App store
586207622,App store
945277713,App store
735351888,App store
1083897619,App store
1134413748,App store
1142381289,App store
884718714,App store
922750150,App store
512921035,App store
1049099873,App store
819623925,App store
1057415516,App store
997252057,App store
852197796,App store
927450217,App store
914079393,App store
1022301195,App store
879478102,App store
1024749537,App store
377640774,App store
439931031,App store
945707046,App store
894624394,App store
480805652,App store
926103965,App store
419224311,App store
481288153,App store
925134465,App store
570319431,App store
681370499,App store
896492909,App store
1039133072,App store
591192887,App store
624653112,App store
988719561,App store
1204891021,App store
693995873,App store
1169188579,App store
284815942,App store
364901807,App store
1124133507,App store
1069468543,App store
923333703,App store
353156434,App store
1091363676,App store
659212032,App store
1151018140,App store
1053294297,App store
305608325,App store
1006091080,App store
1142711726,App store
996982205,App store
366644804,App store
988908926,App store
1078761166,App store
1142717730,App store
921515082,App store
912881550,App store
920775822,App store
1190780969,App store
1077055001,App store
1055486126,App store
734609210,App store
883858344,App store
692765074,App store
1057670827,App store
1016318652,App store
1166103532,App store
536553921,App store
1145181775,App store
896740206,App store
889768907,App store
609320677,App store
1174205762,App store
658149902,App store
900211132,App store
376309187,App store
894778729,App store
985644987,App store
439438619,App store
772487029,App store
1094114259,App store
1079975991,App store
465072566,App store
758999884,App store
592252007,App store
1030902626,App store
394915095,App store
1020391029,App store
737006024,App store
722074116,App store
1017096712,App store
858734269,App store
952658839,App store
1073886311,App store
625993337,App store
978176131,App store
1047118827,App store
1128940693,App store
560547327,App store
1136993233,App store
1076168795,App store
637929057,App store
974739483,App store
1024142753,App store
327031771,App store
1124221308,App store
1018915320,App store
418843867,App store
969456511,App store
987517063,App store
708196645,App store
988752315,App store
1151383174,App store
584960704,App store
929394809,App store
1012233236,App store
1045815337,App store
510064027,App store
1030034820,App store
481808540,App store
918780702,App store
1001999997,App store
486433675,App store
1006909171,App store
953175752,App store
566839331,App store
931296571,App store
807169238,App store
911131929,App store
948719916,App store
840919914,App store
972645247,App store
463265659,App store
918557420,App store
1024764676,App store
466053071,App store
385160897,App store
1011564175,App store
967266596,App store
1063670262,App store
528805631,App store
514917456,App store
923026595,App store
932956540,App store
842415697,App store
518748978,App store
540160856,App store
1033245799,App store
594195725,App store
1143643911,App store
940234666,App store
987962261,App store
1077416560,App store
1145171074,App store
1088686405,App store
843068791,App store
702977609,App store
1057415521,App store
884768773,App store
521069210,App store
733342498,App store
950557838,App store
1123455917,App store
1106023521,App store
1105834924,App store
643496868,App store
382208656,App store
1081593943,App store
1067271144,App store
965584701,App store
443274618,App store
405259285,App store
978368808,App store
512922449,App store
293622097,App store
1029207872,App store
898252952,App store
1065976148,App store
957813284,App store
1124802524,App store
1077938720,App store
969122371,App store
388130466,App store
681241337,App store
1015493681,App store
910051942,App store
1142348885,App store
581983831,App store
441792440,App store
809027853,App store
955327604,App store
1147544008,App store
393313223,App store
568634535,App store
927828924,App store
1108185975,App store
925016244,App store
866590848,App store
1070140241,App store
577856462,App store
412448611,App store
1052856649,App store
610947968,App store
709579885,App store
862090902,App store
1164263724,App store
881599038,App store
468569981,App store
953191136,App store
318200302,App store
460836947,App store
451663823,App store
421167112,App store
1155572299,App store
705467206,App store
638853147,App store
911781009,App store
961336021,App store
1073826118,App store
1171367187,App store
1066405889,App store
1076622926,App store
1152552977,App store
1174080199,App store
422034547,App store
604921715,App store
1141482953,App store
954012593,App store
926221344,App store
285005463,App store
365876767,App store
1084620338,App store
1173688324,App store
766595090,App store
905455244,App store
903578981,App store
692412579,App store
398157641,App store
413616338,App store
918628107,App store
1156187064,App store
872042154,App store
1145177384,App store
1017608476,App store
918861721,App store
299466740,App store
1132336222,App store
969038347,App store
969642034,App store
1012116478,App store
490248104,App store
337021781,App store
621181389,App store
1057416982,App store
441790436,App store
1030608240,App store
925392584,App store
846774476,App store
436612570,App store
691076562,App store
447444215,App store
853834250,App store
961828563,App store
1123132173,App store
429844624,App store
636450411,App store
1033679736,App store
655254536,App store
1127108818,App store
613004240,App store
576941441,App store
736047930,App store
1143482825,App store
363691477,App store
690229094,App store
915854832,App store
1046787135,App store
376164842,App store
426542677,App store
881508987,App store
1011269400,App store
943672781,App store
965436723,App store
400989007,App store
1078643602,App store
305498199,App store
1096427797,App store
379471852,App store
926940831,App store
731967752,App store
474437657,App store
717011569,App store
389514015,App store
1038426990,App store
623592465,App store
785996931,App store
1077576649,App store
774488292,App store
924620788,App store
819526224,App store
363421071,App store
445365724,App store
739107165,App store
874874600,App store
534160364,App store
476702540,App store
305501133,App store
1149479233,App store
1178547361,App store
1093788442,App store
599415835,App store
880242210,App store
889625676,App store
509434136,App store
1107009271,App store
1116062379,App store
1017102959,App store
1146117984,App store
1168425580,App store
981819100,App store
1028300258,App store
945289759,App store
817766274,App store
904641962,App store
562827354,App store
337662397,App store
1002876761,App store
937718942,App store
419688397,App store
1131711060,App store
880744719,App store
999518645,App store
568341812,App store
552011286,App store
949972253,App store
978476998,App store
1075901015,App store
612502252,App store
796726213,App store
1086787992,App store
935764043,App store
973155632,App store
1146828763,App store
957372242,App store
471652460,App store
1030522460,App store
1042402213,App store
581979834,App store
406364460,App store
979713827,App store
970104032,App store
1191261872,App store
1055824678,App store
990628529,App store
1176899666,App store
1110436376,App store
1017619735,App store
1056878884,App store
907046888,App store
577626745,App store
428887661,App store
968008937,App store
936785611,App store
961458770,App store
480017583,App store
1181326320,App store
1064029413,App store
864334927,App store
723466734,App store
665828708,App store
330823064,App store
323129324,App store
467957062,App store
545813738,App store
867964741,App store
908892202,App store
1073537630,App store
1017016513,App store
994401137,App store
338057689,App store
715027712,App store
783543845,App store
522193985,App store
1152581181,App store
1071724190,App store
964097810,App store
1088041538,App store
1082995961,App store
1057673686,App store
1156617686,App store
990631978,App store
995797858,App store
879486059,App store
944919326,App store
907013835,App store
897521696,App store
950710132,App store
1042548678,App store
1065849294,App store
1182510156,App store
756803007,App store
581365763,App store
625391504,App store
317917431,App store
1063372951,App store
980810759,App store
1163003304,App store
905121703,App store
1035460404,App store
646813984,App store
1169376304,App store
824093892,App store
1033685038,App store
1017581225,App store
641427220,App store
1029359984,App store
1068236717,App store
808434527,App store
325683306,App store
921646371,App store
324029866,App store
977631519,App store
1050711248,App store
871331920,App store
1008323467,App store
855627886,App store
1022948629,App store
1091363017,App store
386568787,App store
712453353,App store
931293287,App store
1061419088,App store
459749670,App store
950551948,App store
716808089,App store
897235803,App store
973469381,App store
909412057,App store
1053248871,App store
581315752,App store
640360377,App store
981325873,App store
987145491,App store
301152770,App store
992338178,App store
1130193021,App store
1046101450,App store
463308695,App store
945554952,App store
1000418188,App store
501220013,App store
434446040,App store
912531759,App store
509987785,App store
981198574,App store
915031262,App store
970809354,App store
994855269,App store
1137689929,App store
934697946,App store
965508717,App store
958415876,App store
336580901,App store
982226368,App store
1039955035,App store
1073529893,App store
907336917,App store
1148184908,App store
365681816,App store
594686247,App store
944824096,App store
996136866,App store
1065973429,App store
992473095,App store
463451896,App store
949773739,App store
792886730,App store
950940251,App store
1146836786,App store
421385004,App store
909109176,App store
699687299,App store
1094371356,App store
507985242,App store
1031988940,App store
320233917,App store
578915438,App store
462423445,App store
972079121,App store
991456158,App store
975359540,App store
1087638293,App store
1045653909,App store
517917985,App store
866192330,App store
1080487957,App store
915132727,App store
1082759922,App store
496004846,App store
1000876192,App store
1160482632,App store
1100808186,App store
576874056,App store
548919457,App store
907417128,App store
465715145,App store
998729635,App store
905410455,App store
937977019,App store
695116156,App store
662160344,App store
908342220,App store
966485257,App store
996628829,App store
979074390,App store
948715059,App store
898968647,App store
531885790,App store
1130721042,App store
994969054,App store
1174004941,App store
688569174,App store
1069142544,App store
988485637,App store
663965632,App store
1025043151,App store
469343097,App store
1059210319,App store
988375097,App store
834372137,App store
439927846,App store
523326979,App store
999539712,App store
432849519,App store
1123371085,App store
842712072,App store
594738410,App store
960120322,App store
986251026,App store
1067903136,App store
620012789,App store
1005765746,App store
1101989416,App store
523522535,App store
1012231701,App store
925324251,App store
999505728,App store
900721327,App store
989815148,App store
503036882,App store
907037869,App store
1064078609,App store
907341982,App store
1064421107,App store
761316246,App store
999291995,App store
917301357,App store
903417746,App store
422021634,App store
1116270428,App store
1106666606,App store
1085820767,App store
994771169,App store
1027224779,App store
686510685,App store
1057172667,App store
561183538,App store
825996698,App store
1022164656,App store
1083362092,App store
467810884,App store
622632514,App store
1185134470,App store
949261432,App store
993860846,App store
965092228,App store
626146232,App store
1105992340,App store
1108507977,App store
507874739,App store
903898060,App store
962680846,App store
402370879,App store
1031843662,App store
1043733402,App store
1108503352,App store
932500451,App store
987297622,App store
536531953,App store
440045374,App store
302900092,App store
388497605,App store
1188782503,App store
608834326,App store
489113377,App store
588418045,App store
467338170,App store
1143437011,App store
1017492454,App store
527056979,App store
863126653,App store
904418768,App store
1063844759,App store
1048479808,App store
980963609,App store
1110277208,App store
1156093667,App store
434289193,App store
980540614,App store
1054967845,App store
703474367,App store
783960953,App store
1175582218,App store
595831580,App store
1092971411,App store
965725212,App store
839618264,App store
914302760,App store
1067215016,App store
1124143528,App store
734518728,App store
476467441,App store
1023819302,App store
534282109,App store
1015980179,App store
653398045,App store
454741113,App store
804561060,App store
427776640,App store
988302971,App store
1073698593,App store
952424029,App store
326133287,App store
1061017227,App store
1101399354,App store
996347110,App store
1187814976,App store
983633374,App store
1097889339,App store
1156716750,App store
975749294,App store
1048274253,App store
1160445650,App store
945080263,App store
911387631,App store
949102564,App store
869231055,App store
912764437,App store
990066072,App store
1028552958,App store
910492448,App store
1066698091,App store
725879978,App store
907331812,App store
680523422,App store
680739529,App store
611045270,App store
333262544,App store
933989137,App store
1052857551,App store
1055825012,App store
884539672,App store
930170801,App store
1084860489,App store
292078400,App store
977189764,App store
968990433,App store
1151561236,App store
909649011,App store
404762726,App store
915882921,App store
917395192,App store
1015050842,App store
678604016,App store
1065906948,App store
477244573,App store
1021469703,App store
942548404,App store
977629834,App store
914364783,App store
920160643,App store
963024820,App store
1057124368,App store
744769918,App store
962373464,App store
575147772,App store
1140193456,App store
956858926,App store
958321287,App store
925868266,App store
849106756,App store
441411119,App store
1141262544,App store
585259203,App store
709137013,App store
1098171901,App store
869341117,App store
930200267,App store
682392778,App store
414706506,App store
884344731,App store
350765814,App store
577745607,App store
904387802,App store
1054818220,App store
1074058664,App store
989565361,App store
523662874,App store
624716716,App store
978728309,App store
378092365,App store
927450124,App store
849075051,App store
901017738,App store
1121287400,App store
901999406,App store
1089074435,App store
1148320769,App store
1080604791,App store
1012233071,App store
996876650,App store
1078917900,App store
1027546275,App store
1028984371,App store
1053387120,App store
1143667461,App store
842608717,App store
1001177846,App store
1058023292,App store
961600015,App store
567542935,App store
963704019,App store
1117100472,App store
952441199,App store
1003806222,App store
933958078,App store
555936735,App store
943812472,App store
924476912,App store
1149684511,App store
922528258,App store
936015067,App store
494242260,App store
949716217,App store
1112317178,App store
1119662925,App store
380688571,App store
695108484,App store
1102602015,App store
492838355,App store
1015914482,App store
1107762630,App store
957428201,App store
1028702768,App store
1043728456,App store
530001625,App store
1045491114,App store
1022196879,App store
1178454068,App store
537773100,App store
1178454060,App store
402872407,App store
501724085,App store
370828166,App store
1036797003,App store
1079658714,App store
562281757,App store
363949050,App store
380918768,App store
942303387,App store
914320711,App store
825518048,App store
1031845317,App store
690016261,App store
882362024,App store
988952892,App store
890335790,App store
1039728737,App store
960129332,App store
914504646,App store
329887910,App store
544007664,App store
1172481614,App store
936479206,App store
1059554895,App store
560988878,App store
998475191,App store
1120328476,App store
