Node,ID
node01,1111479706
node02,1005822625
node03,1137952066
node04,1161160642
node05,535153636
node06,1137942850
node07,1155144495
node08,1114489667
node09,1157930465
node10,1137930358
node11,1165746572
node12,1159310087
node13,628228162
node14,966005420
node15,1067266454
node16,1165752346
node17,1039752155
node18,1139163855
node19,1143506403
node20,1151859702
node21,1133872514
node22,1173815077
node23,1076938408
node24,1151049170
node25,1166453556
node26,1124584043
node27,1157912656
node28,589014207
node29,994073916
node30,1159679481
node31,1173815036
node32,1172137205
node33,1157928479
node34,1163169457
node35,773371885
node36,1161338022
node37,1157849320
node38,1159662655
node39,1175980450
node40,1177911518
node41,1178502960
node42,1151305629
node43,1157444837
node44,576997550
node45,1157455659
node46,1180554344
node47,1180358822
node48,1180885257
node49,1136554645
node50,1157947495
node51,1170484790
node52,1171316307
node53,1180572214
node54,1180532736
node55,1180937696
node56,1185382716
node57,1181305460
node58,1174304415
node59,1185760490
node60,1180954130
node61,1183742610
node62,1184444983
node63,1092400597
node64,1150314876
node65,1179247458
node66,1179252708
node67,1150315307
node68,412138549
node69,1179258707
node70,597732429
node71,1185300064
node72,1185298468
node73,1187695577
node74,1184228230
node75,1171716939
node76,1188286832
node77,1178541551
node78,1172125308
node79,1184204636
node80,1184183752
node81,1150428025
node82,1188590009
node83,1175988038
node84,1180974858
node85,1184210678
node86,1150432982
node87,1177885812